id;id_pregunta;respuesta;correcta
162;32;Cuatro;False
163;33;Do' dia' y tre' noche;False
164;33;Tre' dia y do' noche;False
165;34;8;False
166;34;9;False
167;34;10;False
168;34;11;False
169;34;12;False
170;34;13;False
171;34;14;False
172;35;1;False
173;35;2;False
174;35;3;False
175;35;4;False
176;35;5;False
177;35;6;False
178;35;7;False
179;36;Hasta 10 minutos;False
180;36;Hasta 15 minutos;False
181;36;Hasta 20 minutos;False
182;36;Hasta 25 minutos;False
183;36;Hasta 30 mins;False
184;36;Hasta 45 minutos;False
185;37;4;False
186;37;5;False
187;37;6;False
188;37;7;False
189;37;8;False
190;37;9;False
191;37;10;False
192;38;1;False
193;38;2;False
194;38;3;False
195;38;4;False
196;38;5;False
197;38;6;False
198;38;7;False
199;38;8;False
200;38;9;False
201;38;10;False
202;38;11;False
203;38;12;False
204;39;Esmerjon;False
205;39;Abobilla;False
206;39;Mito;False
207;39;Graja;False
208;39;Cárabo;False
209;39;Vencejo;False
210;40;Aries;False
211;40;Tauro;False
212;40;Geminis;False
213;40;Cancer;False
214;40;Leo;False
215;40;Virgo;False
216;40;Libra;False
217;40;Escorpio;False
218;40;Sagitario;False
219;40;Capricornio;False
220;40;Acuario;False
221;40;Piscis;False
222;41;Luna en acuario;False
223;41;Signo -> escorpio;False
224;41;Me gusta una canción de La La Love You;False
225;41;Ser magrebí;False
226;41;Ser homosexual;False
227;41;Ser magrebí y homosexual;False
228;42;Iker;False
229;42;Sara Velayos con uñas largas;False
230;43;Sudáfrica;False
231;43;Francia;False
232;43;Nigeria;False
233;43;Madagascar;False
234;43;Costa de Marfil;False
235;43;Congo;False
236;43;Camerún;False
237;44;13 a.c;False
238;44;102 a.c;False
239;44;0;False
240;44;34 d.c;False
241;44;254 d.c;False
242;44;1845 d.c;False
243;45;1'55 metros;False
244;45;1'62 metros;False
245;45;1'74 metros;False
246;45;1'80 metros;False
247;45;1'95 metros;False
248;45;2'10 metros;False
249;46;es feo;False
250;46;"es ""mono""";False
251;47;MAPS - Maroon 5;False
252;47;Me porto bonito - Bad Bunny ft Chencho Corleone;False
253;47;Hawaii - Maluma;False
254;47;Falling - Harry Styles;False
255;47;The real slim shady - Eminem;False
256;47;Goosebumps - Travis Scott;False
257;47;Wolves - Selena Gómez ft Marshmello;False
258;48;Ninfas;False
259;48;Musas;False
260;49;Escabeche;False
261;49;Salmuera;False
262;50;Delta;False
263;50;Zeta;False
264;51;Los hipopótamos;False
265;51;Las gacelas;False
266;52;El número de años que hace de que se extingueran los dinosaurios;False
267;52;El número de millones que pagó el Atlético de Madrid por fichar a Diego Costa del Chealse en 2017;False
268;53;Ural;False
269;53;Dniéper;False
270;53;Volga;False
271;53;Danubio;False
272;53;Kama;False
273;53;Pechora;False
274;53;Don;False
275;54;No, para qué, qué hay mas rapido que un reflejo;False
276;54;Si, optimizando más espacio a los laterales de los vehículos y facilitando asi la circulación;False
277;55;Enero;False
278;55;Febrero;False
279;55;Marzo;False
280;55;Abril;False
281;55;Mayo;False
282;55;Junio;False
283;55;Julio;False
284;55;Agosto;False
285;55;Septiembre;False
286;55;Octubre;False
287;55;Noviembre;False
288;55;Diciembre;False
289;56;"El ""Carjitsu"" es un deporte que consiste en pelear dentro de un coche.";False
290;56;Aproximadamente 1 de cada 5000 niños nacen sin ano.;False
291;56;Los perezosos pueden aguantar hasta 40 minutos debajo del agua.;False
292;56;La primera persona con enanismo se identificó en el Siglo XX.;False
293;56;Existe una palabra que tarda en leerse más de 3 horas.;False
294;56;La ciudad de Cádiz fue fundada más cerca en el tiempo del último mamut que de nosotros.;False
295;56;El mechero se inventó antes que las cerillas.;False
296;56;La universidad de Oxford es más antigua que el imperio azteca.;False
297;57;♻️;False
298;57;🏝️;False
299;57;🌰;False
300;57;🥶;False
301;58;⠀⠀⠀⠀⠀⠀⠀⠀⠀;False
302;58;Sin nada;False
303;58;Una manita por delante y otra manita por detras;False
304;58;Pedigüeño;False
305;58;Al menos tendrá un cigarro;False
306;58;"""A lo que ca""";False
307;59;1;False
308;59;2;False
309;59;3;False
310;59;4;False
311;59;5;False
312;59;6;False
313;60;Negra;False
314;60;Blanca;False
315;60;Gris;False
316;60;Carne;False
317;60;Todas las opciones anteriores son correctas;False
318;60;Ninguna de las opciones anteriores es correcta;False
319;60;C y D son correctas;False
320;61;75;False
321;61;80;False
322;61;85;False
323;61;90;False
324;61;99;False
325;61;100;False
326;62;Galería;False
327;62;Puente;False
328;62;Concha;False
329;62;Corazón;False
330;62;Labio;False
331;62;Punta o Punto;False
332;62;Orejas;False
333;63;Medioambiente;False
334;63;Medio ambiente;False
335;63;Ambas opciones son correctas;False
336;64;Fortaleza;False
337;64;Caudaloso;False
338;65;Negro;False
339;65;Rojo;False
340;65;Amarillo;False
341;65;Depende de la equipación de su equipo;False
342;66;Díastole;False
343;66;Sístole;False
344;67;Chaqué;False
345;67;Terno;False
346;68;Edward 🧛🏻;False
347;68;Jacob 🐺;False
348;69;Antonio Recio mayorista no limpia pescado🐟🚫🧼;False
349;69;Hilario el de los cementos 👷‍♂️🧱;False
350;70;Dopamina;False
351;70;Serotonina;False
352;70;Oxitocina;False
353;70;Endorfina;False
354;70;Adrenalina;False
355;70;Melatonina;False
356;70;Testosterona;False
357;71;Venus;False
358;71;Diana;False
359;71;Jupiter;False
360;71;Marte;False
361;71;Febo;False
362;71;Minerva;False
363;71;Saturno;False
364;71;Vesta;False
365;71;Juno;False
366;71;Ceres;False
367;72;Noemi;False
368;72;Olga;False
369;72;Maria;False
370;72;Dora;False
371;72;Selene;False
372;72;Elena;False
373;73;7;False
374;73;8;False
375;73;9;False
376;73;10;False
377;73;11;False
378;73;12;False
379;73;13;False
380;74;Cartas Tarot 🃏;False
381;74;Posos Café ☕;False
382;75;0;False
383;75;1;False
384;75;2;False
385;75;3;False
386;75;4;False
387;75;+ de 4;False
388;76;Cruz Cafune;False
389;76;Dellafuente;False
390;77;Difícil 😨;False
391;77;Muy difícil 😱;False
392;78;Wake Me Up - Avicii;False
393;78;Riptide - Vance Joy;False
394;78;Gangnam Style - Psy;False
395;78;Party Rock Anthem - LMFAO;False
396;78;Bangarang - Skrillex;False
397;78;Rolling in the deep - Adele;False
398;78;Sigueme y te sigo - Daddy Yankee;False
399;78;On the floof - Jennifer Lopez;False
400;79;Riptide;False
401;79;Stolen Dance;False
402;80;Riptide;False
403;80;Srolen Dance;False
404;80;Somebody that i used to know;False
405;81;Pasado pisado;False
406;81;Pan y mantequilla;False
407;82;Wake Me Up - Avicii;False
408;82;Riptide - Vance Joy;False
409;82;Gangnam Style - Psy;False
410;82;Party Rock Anthem - LMFAO;False
411;82;Bangarang - Skrillex;False
412;82;Rolling in the deep - Adele;False
413;82;Sigueme y te sigo - Daddy Yankee;False
414;82;On the floor - Jennifer Lopez;False
415;83;Billions club;False
416;83;No billions club;False
417;84;skype;False
418;84;discord;False
419;84;Teams;False
420;84;google meetings;False
421;85;3;False
422;85;4;False
423;85;5;False
424;85;6;False
425;85;7;False
426;85;8;False
427;85;9;False
428;85;10;False
429;86;0,5;False
430;86;1;False
431;86;2;False
432;86;Al corte;False
433;87;75 km;False
434;87;100 km;False
435;87;125 km;False
436;87;150 km;False
437;87;175 km;False
438;87;200 km;False
439;87;225 km;False
440;87;250 km;False
441;88;Canguro 🦘;False
442;88;Rana 🐸;False
443;88;Rinoceronte 🦏;False
444;88;Hipopótamo 🦛;False
445;88;Gorila 🦍;False
446;88;Carapa Koi 🎏;False
447;88;Cocodrilo agua salada 🐊🧂;False
448;88;Cocodrilo del nilo 🐊💦;False
449;88;León hembra 🦁♀️;False
450;88;Jirafa 🦒;False
451;89;"Moros con ""TN"" 👟";False
452;89;Mujeres con iPhone 🤳🏻;False
453;90;SÍ TOTALLLLLL 💯🔥🥇;False
454;90;no.;False
455;91;Milf;False
456;91;Milfnt;False
457;92;Wombat;False
458;92;Dugongo;False
459;93;125;False
460;93;370;False
461;93;750;False
462;93;1380;False
463;93;3540;False
464;94;Maki;False
465;94;Sashimi;False
466;94;Nigiri;False
467;94;Uramaki;False
468;95;Tango;False
469;95;Ranchero;False
470;95;Bolero;False
471;95;Cumbia;False
472;96;Festival de los farolillos 🏮🏮;False
473;96;Festival del dragón 🐉🀄;False
474;97;8 Km;False
475;97;10 Km;False
476;97;12 Km;False
477;97;14 Km;False
478;97;16 Km;False
479;97;18 Km;False
480;97;20 Km;False
481;98;8;False
482;98;13;False
483;98;17;False
484;98;20;False
485;98;24;False
486;99;193 cms;False
487;99;203 cms;False
488;99;213 cms;False
489;99;223 cms;False
490;99;233 cms;False
491;100;Naiaramusic;False
492;100;Novia de Micki facal2021;False
493;101;Si;False
494;101;No;False
495;102;1;False
496;102;5;False
497;102;7;False
498;102;10;False
499;102;15;False
500;102;20;False
501;102;25;False
502;102;30;False
503;103;Dulce;False
504;103;Ácido;False
505;103;Salado;False
506;103;Amargo;False
507;103;Umami;False
508;104;Si;False
509;104;No;False
510;105;Ratones;False
511;105;Conejos;False
512;105;Pulgas;False
513;105;Gatos;False
514;105;Piojos;False
515;105;Perros;False
516;105;Ratas;False
517;105;Burros;False
518;105;Vacas;False
519;105;Cerdos;False
520;106;X100PRE🐰;False
521;106;YHLQMDLG🤕🥵;False
522;106;LQNIAS🥳🥳;False
523;106;UVST🌅🥳🥺;False
524;106;💤💤 OASIS💤💤;False
525;107;UN MDFKN VERANO SIN TI 🌅🌅;False
526;107;MICRO MDFKN DOSIS 💊💊;False
527;108;Enero;False
528;108;Febrero;False
529;108;Marzo;False
530;108;Abril;False
531;108;Mayo;False
532;108;Junio;False
533;108;Julio;False
534;108;Agosto;False
535;108;Septiembre;False
536;108;Octubre;False
537;108;Noviembre;False
538;108;Diciembre;False
539;109;Ninguno;False
540;109;Uno;False
541;109;Dos;False
542;109;Tres;False
543;109;Depende;False
544;110;La pava;False
545;110;La gallina;False
546;111;Tiburón;False
547;111;Ballena;False
548;112;Adversativa;False
549;112;Comparativa;False
550;113;Izquierda;False
551;113;Derecha;False
552;114;Si;False
553;114;No;False
554;115;5;False
555;115;6;False
556;115;7;False
557;115;8;False
558;115;9;False
559;115;10;False
560;116;Évole 🎤🤓;False
561;116;Wild 💪🤬;False
562;117;Bizarrap;False
563;117;Drake;False
564;117;Dua Lipa;False
565;117;David Guetta;False
566;117;Imagine Dragons;False
567;117;Bad Bunny;False
568;117;Harry Styles;False
569;118;Harry Styles;False
570;118;Shawn Mendes;False
571;119;Harry Styles;False
572;119;Shawn Mendes;False
573;120;Mommy issues;False
574;120;Daddy issues;False
575;121;Easy Money Baby;False
576;121;Un Verano sin tí;False
577;121;Yo hago lo que me da la gana;False
578;121;Viceversa;False
579;121;X 100pre;False
580;121;Aura;False
581;121;Motomami;False
582;121;El madrileño;False
583;122;Blueface;False
584;122;Pablo Chill E;False
585;122;Bhad Bhabie;False
586;123;HASTA QUE DIOS DIGA ft. 🐰;False
587;123;EL MANUAL;False
588;123;BANDOLERA;False
589;123;HIPÓCRITA ft. Zion;False
590;124;EL CONEJO MALO🐰;False
591;124;MYKE TOWERS YOUNGKINGZ🤴🏽;False
592;124;MORA🍇💖;False
593;124;EL DIOS DEL TRÁ'👺;False
594;124;RAUW RAUW 🪐;False
595;124;PEDRO DOMÍNGUEZ QUEVEDO 🇮🇨;False
596;124;FERXXO 💚;False
597;124;DUKO 🤟🏼😈;False
598;125;Sinécdoque;False
599;125;Asíndeton;False
600;125;Hipérbole;False
601;125;Anáfora;False
602;125;Aliteración;False
603;125;Hipérbaton;False
604;125;Sinestesia;False
605;126;Ayuda a cagar;False
606;126;Ayuda a no cagar;False
607;127;Ayuda a cagar;False
608;127;Ayuda a no cagar;False
609;128;Esloveno;False
610;128;Inglés;False
611;128;Suizo;False
612;128;Francés;False
613;128;Alemán;False
614;128;Romanche;False
615;128;Italiano;False
616;129;4;False
617;129;6;False
618;129;8;False
619;129;10;False
620;129;12;False
621;130;Papel repro;False
622;130;Papel de seda;False
623;130;Papel de algodón;False
624;130;Papel satinado;False
625;130;Papel reciclado;False
626;130;Papel bond;False
627;130;Papel ecológico;False
628;130;Papel sintético;False
629;131;Gayvidinho - David 🤏🏻🤓🇮🇪🍀;False
630;131;Super Paoli 👧🏽🇮🇨🍌;False
631;131;Super Manoli 👩🏽 🇮🇨🍌;False
632;131;Sofibú 👩🏻? 🏡;False
633;131;Erin? 🙏🏻🛐🕊️;False
634;132;Endosimbiosis;False
635;132;Metamorfosis;False
636;132;Desarrollo;False
637;132;Fotosíntesis;False
638;132;Quimiosintesis;False
639;132;Muda;False
640;132;Ecdiosis;False
641;132;Transmutación;False
642;133;1869;False
643;133;1887;False
644;133;1900;False
645;133;1915;False
646;133;1928;False
647;133;1942;False
648;133;1960;False
649;134;Guatemala 🇬🇹;False
650;134;Perú 🇵🇪;False
651;134;Ecuador 🇪🇨;False
652;134;Honduras 🇭🇳;False
653;134;México 🇲🇽;False
654;134;Península de Yucatán 🏝;False
655;134;Colombia 🇨🇴;False
656;135;👋;False
657;135;🫲;False
658;136;7,90€;False
659;136;8,40€;False
660;136;8,60€;False
661;136;9,50€;False
662;136;10,40€;False
663;136;11,00€;False
664;136;12,10€;False
665;137;Foto 1;False
666;137;Foto 2;False
667;138;37;False
668;138;39;False
669;138;41;False
670;138;43;False
671;139;Nigeria 🇳🇬;False
672;139;Egipto 🇪🇬;False
673;139;Argelia 🇩🇿;False
674;139;República Democrática del Congo 🇨🇩;False
675;139;Zimbabwe 🇿🇼;False
676;139;Sudáfrica 🇿🇦;False
677;139;Chad 🇹🇩;False
678;140;Si 🥖;False
679;140;No???? 😐👎;False
680;141;Zeta ζ;False
681;141;Kappa κ;False
682;141;Theta θ;False
683;141;Eta η;False
684;141;Omicron ο;False
685;141;Mu μ;False
686;142;16 de enero;False
687;142;8 de agosto;False
688;142;3 de noviembre;False
689;142;4 de julio;False
690;142;19 de octubre;False
691;142;9 de marzo;False
692;143;Málaga;False
693;143;Barcelona;False
694;143;Valencia;False
695;143;Madrid;False
696;143;Santander;False
697;143;Bilbao;False
698;143;Palma de Mallorca;False
699;144;Si 😱;False
700;144;No 🙅🏽‍♂️;False
701;145;Juan Magan;False
702;145;Kidd Keo;False
703;146;Miedo al cambio;False
704;146;Miedo a la soledad;False
705;146;Miedo a la muerte;False
706;146;Miedo a la humillación;False
707;146;Miedo a la mutilación;False
708;146;Miedo a la pérdida de la autonomía;False
709;146;Miedo al fracaso;False
710;147;Leiti sene;False
711;147;Su primo;False
712;148;fluvi 💧🚿🐳💦;False
713;148;pilar 🪨;False
714;149;Madagestores;False
715;149;Malgaches;False
716;149;Mestecos;False
717;149;Médegos;False
718;149;Margáceños;False
719;149;Trompeños;False
720;149;Molilecos;False
721;150;Con queso;False
722;150;Sin queso;False
723;150;Algunos con algunos sin;False
724;151;Simon;False
725;151;Nel;False
726;152;Erin Pedraz + Super Paoli;False
727;152;Supoer Manoli+ Sara Velayos;False
728;153;Amaprime 🤖;False
729;153;Maurodona 🦹🏽‍♂️;False
730;154;Panthera onca;False
731;154;Panthera pardus;False
732;155;Demeter;False
733;155;Apolo;False
734;156;Acero;False
735;156;Bicho;False
736;157;Parcerita;False
737;157;Si Veo a Tu Mamá;False
738;158;Puertas;False
739;158;Ruedas;False
740;159;Miedo al cambio;False
741;159;Miedo a la soledad;False
742;159;Miedo a la muerte;False
743;159;Miedo a la humillacion;False
744;159;Miedo a la mutilación;False
745;159;Miedo a la perdida de autonomia;False
746;159;Miedo al fracaso;False
747;160;Instagram;False
748;160;Tiktok;False
749;160;Facebook;False
750;160;WhatsApp;False
751;160;Twitter;False
752;160;LinkedIn;False
753;160;Youtube;False
754;160;Snapchat;False
755;161;Magrebí;False
756;161;Libra;False
757;162;De;False
758;162;Y;False
759;162;La;False
760;162;Que;False
761;162;A;False
762;162;En;False
763;162;El;False
764;162;No;False
765;163;🥀;False
766;163;🍫;False
767;163;💺;False
768;163;🔝❌;False
769;164;🥀;False
770;164;🍫;False
771;165;Enfermedades respiratorias;False
772;165;Cáncer;False
773;165;Enfermedades infecciosas;False
774;165;Enfermedades cardiovasculares;False
775;165;Accidentes;False
776;165;Suicidios;False
777;165;Enfermedades digestivas;False
778;165;Diabetes;False
779;165;Enfermedades neurológicas;False
780;166;mates;False
781;166;fisio;False
782;166;bioquímica;False
783;166;veterinaria;False
784;166;nutri;False
785;166;dade;False
786;167;40%;False
787;167;50%;False
788;167;60%;False
789;167;70%;False
790;167;75%;False
791;167;80%;False
792;167;90%;False
793;167;Ninguna de las anteriores;False
794;168;Moldeo por inyección de plástico;False
795;168;Termoformado de plástico;False
796;168;Extrusión de plástico;False
797;168;Soldadura por ultrasonidos;False
798;168;Moldeo por compresión de plástico;False
799;168;Moldeo por soplado de plástico;False
800;168;Extrusión-soplado de plástico;False
801;169;6 meses;False
802;169;10 meses;False
803;169;18 meses;False
804;169;22 meses;False
805;169;26 meses;False
806;169;30 meses;False
807;169;36 meses;False
808;170;Sísalatas;False
809;170;Naaaast;False
810;171;Oxigeno;False
811;171;Hidrogeno;False
812;171;Hierro;False
813;171;Helio;False
814;171;Carbono;False
815;171;Nitrógeno;False
816;171;Calcio;False
817;172;Si sa;False
818;172;Naast;False
819;173;5 %;False
820;173;10 %;False
821;173;15 %;False
822;173;20 %;False
823;173;25 %;False
824;173;30 %;False
825;173;Ninguna de las anteriores;False
826;174;Quito, Ecuador;False
827;174;Cartagena, Colombia;False
828;174;Cuzco, Peru;False
829;174;La Habana, Cuba;False
830;174;San Juan, Puerto Rico;False
831;174;Antigua, Guatemala;False
832;174;Ouro Preto, Brasil;False
833;175;Bicarbonato de sodio;False
834;175;Flúor;False
835;175;Carbonato de calcio;False
836;175;Cloruro de cetilpridinio;False
837;176;Hinca píe;False
838;176;Hincapíe;False
839;176;Inca pie;False
840;176;Incapié;False
841;176;Hincapié;False
842;176;Hincapie;False
843;176;Hinca pie;False
844;177;Brasil;False
845;177;Colombia;False
846;177;Vietnam;False
847;177;Etiopía;False
848;178;Egipto;False
849;178;India;False
850;178;Mesopotamia;False
851;178;China;False
852;178;Persia;False
853;178;Grecia;False
854;179;1948;False
855;179;1954;False
856;179;1960;False
857;179;1969;False
858;179;1979;False
859;179;1980;False
860;180;Miedo a los payasos;False
861;180;Miedo a los números impares;False
862;180;Miedo a los espacios abiertos;False
863;180;Miedo a los lugares abiertos;False
864;180;Miedo a los espejos;False
865;180;Miedo a las palabras largas;False
866;180;Miedo a la nieve;False
867;181;Seguimos cómo hasta ahora;False
868;181;Mando la pregunta en un mensaje y cada uno me envia de manera individual su respuesta por privado;False
869;181;"Se puede cambiar el voto ilimitadas veces pero a las 15:00 o hora ""X"" se cierran votaciones";False
870;182;Como hasta ahora;False
871;182;Se envia por Google Forms un link y se vota ahí;False
872;182;Votos ilimitados y se cierra a las 15:00 votos posteriores a esa hora EN MI MOV estan descalificados;False
873;182;Mando la pregunta en mensaje normal y cada uno me responde por privado citando msj;False
874;183;El octanaje se refiere a la cantidad de gasolina pura en la mezcla de combustible;False
875;183;El octanaje se refiere a la cantidad de etanol en la mezcla de combustible;False
876;183;El octanaje se refiere a la capacidad de la gasolina de resistir la detonación en el motor;False
877;183;El octanaje se refiere a la cantidad de aditivos en la mezcla de combustible;False
878;183;El octanaje se refiere a la cantidad de impurezas en la gasolina;False
879;183;El octanaje se refiere a la cantidad de compuestos químicos en la gasolina;False
880;183;El octanaje se refiere a la cantidad de agua en la gasolina;False
881;184;sí;False
882;184;no;False
883;184;casi todos;False
884;185;Givenchy;False
885;185;Versace;False
886;185;Kenzo;False
887;185;Fendi;False
888;185;Christian Dior;False
889;185;Prada;False
890;185;Emilio Pucci;False
891;186;824;False
892;186;940;False
893;186;1000;False
894;186;1054;False
895;186;1210;False
896;186;1304;False
897;187;Oregon;False
898;187;California;False
899;187;Montana;False
900;187;Nuevo México;False
901;187;Texas;False
902;187;Colorado;False
903;187;Arizona;False
904;188;Dos glándulas sudoriparas, las apocrinas y las ecrinas;False
905;188;Dos glándulas sudoriparas, las sebaceas y las apocrinas;False
906;188;Tres glándulas sudoriparas, las sebaceas, las apocrinas y las ecrinas;False
907;188;Tres glándulas sudoriparas, las sebaceas, las apocrinas y las mamarias;False
908;188;Cuatro glándulas sudoriparas, las sebaceas, las apocrinas, las erinas y las mamarias;False
909;188;Cuatro glandulas sudoriparas, las sebáceas, las apocrinas, las mamarias y las ceruminosas;False
910;188;Cinco glandulas sudoríparas, las sebaceas, las apocrinas, las ecrinas, las mamariasy las ceruminosas;False
911;189;Las Apocrinas;False
912;189;Las Ecrinas;False
913;190;Helio;False
914;190;Nitrógeno;False
915;190;Hidrógeno;False
916;190;Oxigeno;False
917;191;Elefante;False
918;191;Jirafa;False
919;191;Hipopótamo;False
920;191;Ornitorrinco;False
921;192;Negras con rayas blancas;False
922;192;Blancas con rayas negras;False
923;193;4.2 años luz;False
924;193;4.2 millones de kilómetros;False
925;193;42 años luz;False
926;193;42 millones de kilómetros;False
927;194;Secuoya gigante;False
928;194;Pino bristlecone;False
929;194;Olivo;False
930;194;Baobab;False
931;194;Ginkgo biloba;False
932;194;Arce japonés;False
933;194;Eucalipto;False
934;195;4 años;False
935;195;5 años;False
936;195;6 años;False
937;195;7 años;False
938;195;8 años;False
939;195;9 años;False
940;195;10 años;False
941;195;Ninguna de las anteriores;False
942;196;Platón, Sócrates, Aristóteles;False
943;196;Platón, Aristóteles, Sócrates;False
944;196;Sócrates, Platón, Aristóteles;False
945;196;Sócrates, Aristóteles, Platón;False
946;196;Aristóteles, Platón, Sócrates;False
947;196;Aristóteles,  Sócrates, Platón;False
948;197;Con bata;False
949;197;Descalzas;False
950;198;Quién se quede más cerca;False
951;198;Quién se quede más cerca sin pasarse;False
952;198;Quién se quede más cerca sin quedarse corto;False
953;199;+1;False
954;199;+2;False
955;199;+3;False
956;199;+4;False
957;199;+5;False
958;199;+6;False
959;199;+7;False
960;199;+8;False
961;199;+9;False
962;199;+10;False
963;200;Rata 🐁;False
964;200;Ratón 🐀;False
965;200;Perro 🐕‍🦺;False
966;200;Mono 🐒;False
967;200;Gusano 🪱;False
968;200;Mosca 🪰;False
969;200;Pez 🐟;False
970;201;Sí 😮;False
971;201;No 😖;False
972;202;Si;False
973;202;No;False
974;203;Venezuela;False
975;203;Colombia;False
976;203;Guyana;False
977;203;Surinam;False
978;203;Guyana Francesa;False
979;203;Ecuador;False
980;203;Chile;False
981;203;Perú;False
982;203;Bolivia;False
983;203;Paraguay;False
984;203;Argentina;False
985;203;Uruguay;False
986;204;No bebe!;False
987;204;1 👉🏻👈🏻;False
988;204;2🤩;False
989;204;3😜;False
990;204;4😜;False
991;204;5😳;False
992;205;152;False
993;205;190;False
994;205;205;False
995;205;260;False
996;205;340;False
997;205;401;False
998;205;500;False
999;206;MAN DAN GA;False
1000;206;APOCALIPSI;False
1001;206;SERAFÍ;False
1002;206;SALAM ALEIKUM;False
1003;206;3D;False
1004;206;DAKAR;False
1005;206;. Y APARTE;False
1006;207;Bitcoin;False
1007;207;5:05 pm;False
1008;207;H2O;False
1009;207;Relativo;False
1010;207;Y yassta;False
1011;207;RAM;False
1012;207;Osa mayor °•°|°`°`§§×§∆;False
1013;208;Buenaaas! 🙋🏽‍♂️;False
1014;208;Hasta luegoo 🫡;False
1015;208;Holaaa 😬;False
1016;208;Adioos! 👋;False
1017;209;Flynn;False
1018;209;Fletcher;False
1019;209;Patel;False
1020;209;Cooper;False
1021;209;Clarke;False
1022;209;Smith;False
1023;209;Green;False
1024;210;Albahaca orégano;False
1025;210;Bolignesa;False
1026;211;ETA 😶‍🌫️;False
1027;211;PETA 🐕/☘️🌿;False
1028;211;KETA 🐴;False
